"GeneNames"	"value1"	"value2"	"log2(Fold_change)"	"log2(Fold_change) normalized"	"p-value"	"q-value(Benjamini et al. 1995)"	"q-value(Storey et al. 2003)"	"Signature(p-value < 0.001)"
121	133	1066	-3.00270928725799	-2.76277554336339	0	0	0	1
3	3	162	-5.75488750216347	-5.51495375826888	0	0	0	1
97	204	54	1.91753783980803	2.15747158370262	0	0	0	1
239	404	83	2.28317205140487	2.52310579529946	0	0	0	1
147	328	24	3.77258950389693	4.01252324779152	0	0	0	1
524	482	273	0.820132195310109	1.0600659392047	0	0	0	1
624	500	84	2.57346686188333	2.81340060577792	0	0	0	1
210	239	825	-1.78738350115243	-1.54744975725784	0	0	0	1
85	125	1047	-3.06626144226872	-2.82632769837413	0	0	0	1
218	282	1076	-1.93191101015783	-1.69197726626324	0	0	0	1
12	3	78	-4.70043971814109	-4.4605059742465	0	0	0	1
231	392	994	-1.34239219744708	-1.10245845355249	0	0	0	1
60	124	27	2.19930880822341	2.439242552118	0	0	0	1
241	430	902	-1.06879077366592	-0.828857029771328	0	0	0	1
4	7	145	-4.37255416795733	-4.13262042406274	0	0	0	1
1346	1104	2129	-0.947435777674126	-0.707502033779534	0	0	0	1
140	174	516	-1.56828375957453	-1.32835001567993	0	0	0	1
4287	4567	16717	-1.87199727259861	-1.63206352870401	0	0	0	1
513	695	2642	-1.92654558363596	-1.68661183974137	0	0	0	1
27	51	238	-2.22239242133645	-1.98245867744186	0	0	0	1
171	192	669	-1.8008998999203	-1.56096615602571	0	0	0	1
1039	1631	3421	-1.06866132205602	-0.828727578161424	0	0	0	1
1099	1372	2347	-0.774537360350358	-0.534603616455765	0	0	0	1
56	32	219	-2.77478705960117	-2.53485331570658	0	0	0	1
194	363	859	-1.24268858314271	-1.00275483924812	0	0	0	1
261	318	787	-1.30733687022313	-1.06740312632854	0	0	0	1
1627	1738	232	2.90523137168683	3.14516511558142	0	0	0	1
119	114	361	-1.66296501272243	-1.42303126882784	0	0	0	1
1266	1443	1123	0.361713372090597	0.601647115985189	0	0	0	1
192	152	571	-1.90941942191926	-1.66948567802467	0	0	0	1
15	14	217	-3.95419631038688	-3.71426256649228	0	0	0	1
743	815	1548	-0.925533507025969	-0.685599763131377	0	0	0	1
12	7	150	-4.42146376843828	-4.18153002454368	0	0	0	1
520	617	355	0.797451464757373	1.03738520865197	0	0	0	1
30	28	344	-3.61890983264449	-3.3789760887499	0	0	0	1
1678	1818	998	0.865240478856848	1.10517422275144	0	0	0	1
31	20	142	-2.82781902461732	-2.58788528072273	0	0	0	1
834	822	519	0.663403855323802	0.903337599218394	0	0	0	1
125	233	89	1.38845271368788	1.62838645758248	0	0	0	1
840	1182	594	0.992695199376765	1.23262894327136	0	0	0	1
992	1006	396	1.34505796972592	1.58499171362051	0	0	0	1
78	80	341	-2.09169983413681	-1.85176609024222	0	0	0	1
