Control_1	Control_2	Control_3	Patient_1	Patient_2	Patient_3
A1BG	2	3	4	2	2	5
A1BG-AS1	20	5	5	17	12	4
A1CF	2	0	0	3	1	0
A2M	6	20	27	4	1	2
A2M-AS1	13	30	46	4	2	8
A2ML1	1	0	2	0	0	0
A2MP1	2	1	0	0	0	0
A3GALT2	0	0	0	0	0	0
A4GALT	0	0	0	0	12	0
A4GNT	0	0	0	0	0	0
AAAS	64	81	88	25	36	28
AACS	21	22	29	8	15	6
AACSP1	0	0	0	0	0	0
AADAC	0	0	0	1	0	0
AADACL2	0	0	0	0	0	0
AADACL3	0	0	1	0	0	0
AADACL4	0	0	0	0	0	0
AADAT	0	0	0	4	0	1
AAED1	135	94	117	99	65	113
AAGAB	96	71	122	131	143	119
AAK1	545	1066	1652	182	133	121
AAMDC	6	10	5	0	1	1
AAMP	47	49	68	30	33	20
AANAT	2	3	4	6	16	2
AAR2	16	23	22	46	65	48
AARD	0	0	0	0	0	0
AARS	59	71	41	32	78	46
AARS2	36	32	52	46	70	67
AARSD1	0	0	0	0	0	0
AASDH	42	43	112	61	82	61
AASDHPPT	39	33	61	63	112	75
AASS	98	32	53	35	47	43
AATF	261	263	220	266	287	240
AATK	3	4	1	8	1	1
AATK-AS1	0	0	0	0	0	0
ABAT	57	53	53	18	20	17
ABCA1	3381	1597	919	1564	968	1592
ABCA10	5	1	2	5	7	1
ABCA11P	24	9	24	24	47	24
ABCA12	1	0	0	1	0	0
ABCA13	64	162	14	7	3	3
ABCA17P	0	0	0	0	0	0
ABCA2	47	87	91	18	12	31
ABCA3	15	5	45	5	2	5
ABCA4	0	1	0	0	0	0
ABCA5	94	54	80	119	204	97
ABCA6	11	20	3	2	8	3
ABCA7	93	44	65	27	23	29
ABCA8	0	0	1	0	0	0
ABCA9	2	0	0	0	1	1
ABCB1	107	83	129	338	404	239
ABCB10	64	80	74	66	93	59
ABCB11	0	1	0	0	0	0
ABCB4	108	24	23	198	328	147
ABCB5	2	0	0	0	0	0
ABCB6	20	11	9	9	15	6
ABCB7	119	105	100	93	112	82
ABCB8	19	11	9	12	22	11
ABCB9	2	3	3	1	3	1
ABCC1	366	380	493	241	542	275
ABCC10	51	21	54	16	50	22
ABCC11	1	1	1	0	0	0
ABCC12	0	0	0	0	0	0
ABCC13	0	0	0	0	0	1
ABCC2	19	6	12	23	10	29
ABCC3	33	55	18	6	10	10
ABCC4	46	43	58	21	45	22
ABCC5	79	77	156	22	29	19
ABCC5-AS1	0	0	0	0	0	0
ABCC6	4	2	3	1	1	0
ABCC6P1	0	1	0	0	0	0
ABCC6P2	0	0	0	1	0	0
ABCC8	0	0	0	0	0	0
ABCC9	0	0	4	2	1	0
ABCD1	28	17	15	8	8	8
ABCD2	5	10	19	3	1	4
ABCD3	87	64	51	79	93	61
ABCD4	48	40	42	45	64	45
ABCE1	381	273	294	388	482	524
ABCF1	834	513	480	473	567	475
ABCF2	160	131	154	129	224	118
ABCF3	82	58	82	96	99	101
ABCG1	286	84	177	531	500	624
ABCG2	5	7	4	4	5	3
ABCG4	0	0	0	0	0	2
ABCG5	1	0	0	0	0	0
ABCG8	0	0	0	0	1	1
ABHD1	6	1	6	5	12	3
ABHD10	29	27	57	49	93	41
ABHD11	1	12	21	2	9	9
ABHD12	31	46	66	19	19	11
ABHD12B	2	4	3	1	0	1
ABHD13	173	112	114	113	111	116
ABHD14A	2	4	1	1	0	1
ABHD14A-ACY1	0	0	0	0	0	0
ABHD14B	94	70	145	41	41	64
ABHD15	85	74	97	78	160	112
ABHD16A	102	69	113	79	89	58
